old_id,name,usage_count,category_major,category_sub,drop_type,reason
12509,妃子笑,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12512,石磨面粉,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12513,脆皮巧克力,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12514,鲜芡实,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12517,少面粉,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12518,金莎巧克力,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12519,奥利奥饼底,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12520,随你,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12522,淡奶油一盒,3,乳类及其制品,乳制品,processed,烘焙或乳制加工食品
12523,味饼干』,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12525,钙粉,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12527,机赤味增,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12529,泡椒泡萝卜,3,蔬菜类及其制品,蔬菜,processed,成品、半成品或加工食品
12532,大汤圆,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12535,豆瓣酱辣,3,调味,其他,junk,不属于指南允许的基础原生食材类别
12536,果仁葡萄干,3,水果类及其制品,水果,processed,成品、半成品或加工食品
12537,喜爱食材,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12538,田河马蹄粉,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12539,一张,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12541,一团,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12542,半汤匙,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12543,干妈香辣脆油辣椒,3,蔬菜类及其制品,蔬菜,seasoning,调味料不进入基础原生食材表
12544,雀巢咖啡粉,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12545,平阴玫瑰,3,蔬菜类及其制品,蔬菜,seasoning,调味料不进入基础原生食材表
12546,王致和红豆沙,3,干豆类及其制品,豆制品,processed,成品、半成品或加工食品
12547,双皮奶,3,其他,烘焙与加工食品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12550,啦奶酪,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12552,蛋液加牛奶,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12553,魔芋凉皮,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12555,妙可蓝多烘焙奶酪,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12556,棒面包,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12557,黄浆,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12559,苟杞,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12560,南瓜牛奶,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12561,面包去边,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12562,芽菜肉末,3,畜肉类及其制品,畜肉,processed,成品、半成品或加工食品
12564,果茸,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12571,蛋糕蛋黄糊,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12573,准山,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12576,雪糕棒,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12579,干貝,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12581,早睡早起,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12582,饺子剩下饺子皮,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12583,泡芙馅,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12585,三件套,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12586,披萨叶,3,其他类,其他,processed,成品、半成品或加工食品
12587,馅儿饺子,3,其他类,其他,processed,成品、半成品或加工食品
12588,印度飞饼皮,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12589,芦荟酸奶,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12590,中号裱花嘴,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12592,支巧克力笔,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12593,口味慕斯,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12594,调制水,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12595,浸泡金酒,3,其他类,其他,seasoning,调味料不进入基础原生食材表
12596,日清山茶花高筋粉,3,其他,饮品,junk,不属于指南允许的基础原生食材类别
12597,蒜蓉剁辣椒,3,蔬菜类及其制品,蔬菜,processed,成品、半成品或加工食品
12598,其余食材,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12602,巴马臣奶酪,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12605,奶油原料,3,其他类,其他,processed,烘焙或乳制加工食品
12607,爱吃食物,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12608,清明草泥,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12610,乳酸菌酸奶,3,其他,饮品,processed,成品、半成品或加工食品
12611,任意葡萄干,3,水果类及其制品,水果,processed,成品、半成品或加工食品
12613,听啤酒,3,其他,饮品,seasoning,调味料不进入基础原生食材表
12620,杂粮面包,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12621,咖啡精,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12622,第一天,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12623,果膏,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12625,慕斯蛋黄,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12626,面包团,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12627,玫瑰花馒头,3,蔬菜类及其制品,蔬菜,seasoning,调味料不进入基础原生食材表
12629,备干辣椒,3,蔬菜类及其制品,蔬菜,seasoning,调味料不进入基础原生食材表
12631,湾仔码头水晶汤圆,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12633,米豆浆,3,其他,饮品,processed,成品、半成品或加工食品
12634,增稠,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12635,调味类,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12636,欢马苏里拉芝士碎,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12638,不要太大,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12639,板巧克力,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12640,客家米粉,3,谷类及其制品,谷物,processed,成品、半成品或加工食品
12641,拿破仑粉,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12642,多些水,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12644,水果蛋糕,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12645,不要超过,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12648,大香肠,3,畜肉类及其制品,畜肉,processed,加工肉制品
12649,配面粉,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12650,虾丸鱼丸,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12651,肉骨茶香料,3,其他,饮品,junk,不属于指南允许的基础原生食材类别
